Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APOA2,Apolipoprotein A-II,44780,630,1.02 [0.87-1.18],0.8290514586252182
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APOA4,Apolipoprotein A-IV,44808,628,1.15 [0.93-1.41],0.1971777979186842
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APOB,Apolipoprotein B-100,44780,630,0.97 [0.70-1.35],0.8575918389433214
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APOBR,Apolipoprotein B receptor,43550,617,1.01 [0.84-1.20],0.95515864772031
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APOC1,Apolipoprotein C-I,44723,626,0.81 [0.66-1.00],0.053242940866098
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APOD,Apolipoprotein D,42794,603,0.48 [0.37-0.60],1.5037889266604171e-09
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APOE,Apolipoprotein E,44808,628,1.14 [1.04-1.24],0.0060198857556961
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APOF,Apolipoprotein F,44780,630,0.46 [0.40-0.52],1.128518202038994e-34
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APOH,Beta-2-glycoprotein 1,51475,728,1.27 [1.07-1.51],0.0056533813813459
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APOL1,Apolipoprotein L1,44780,630,0.97 [0.86-1.10],0.6747135957495214
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APOM,Apolipoprotein M,51584,747,0.49 [0.39-0.61],2.0116083954929477e-10
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APP,Amyloid-beta precursor protein,51397,728,1.11 [1.01-1.23],0.0293838336360615
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APPL2,DCC-interacting protein 13-beta,43761,617,1.07 [0.99-1.14],0.0711617390991273
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,APRT,Adenine phosphoribosyltransferase,50979,728,1.13 [0.98-1.30],0.086703443934822
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ARAF,Serine/threonine-protein kinase A-Raf,43926,615,1.06 [0.95-1.19],0.2722745886219351
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AREG,Amphiregulin,51227,734,1.69 [1.49-1.91],4.8019595786081225e-17
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ARF6,ADP-ribosylation factor 6,44550,622,1.09 [1.02-1.17],0.016697071497732
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ARFIP1,Arfaptin-1,44664,625,1.08 [0.97-1.21],0.1509661311276207
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ARG1,Arginase-1,51152,731,0.95 [0.84-1.08],0.4235258272045744
